owner,sample_name,sample_id,barcode1_read,barcode1_start,barcode1_length,umi_read,umi_start,umi_length,linkage_ref_barcode_column
rb,in_vitro_no_enzyme,i79_p1,1,1,10,2,1,7,2
rb,in_vitro_lambdaN_tada_500nM_37_2hr,i79_p2,1,1,10,2,1,7,2
rb,in_vitro_lambdaN_tada_250nM_37_2hr,i79_p3,1,1,10,2,1,7,2
rb,in_vitro_lambdaN_tada_125nM_37_2hr,i79_p4,1,1,10,2,1,7,2
rb,in_vitro_lambdaN_tada_250nM_37_1hr,i79_p5,1,1,10,2,1,7,2
rb,in_vitro_lambdaN_tada_250nM_37_30min,i79_p6,1,1,10,2,1,7,2
rb,in_vitro_tada_500nM_37_2hr,i79_p7,1,1,10,2,1,7,2
rb,in_vitro_tada_250nM_37_2hr,i79_p8,1,1,10,2,1,7,2
rb,in_vitro_tada_125nM_37_2hr,i79_p9,1,1,10,2,1,7,2
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_2hr,i79_p10,1,1,10,2,1,7,2
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_25_2hr,i79_p11,1,1,10,2,1,7,2
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_13_2hr,i79_p12,1,1,10,2,1,7,2
rb,in_vitro_125_gfpab_125_lambdaN_125nM_pAG_tada_37_2hr,i79_p13,1,1,10,2,1,7,2
rb,in_vitro_500_gfpab_500_lambdaN_500nM_pAG_tada_37_2hr,i79_p14,1,1,10,2,1,7,2
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_1hr,i79_p15,1,1,10,2,1,7,2
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_30min,i79_p16,1,1,10,2,1,7,2
rb,in_vitro_250_lambdaN_250nM_pAG_tada_37_2hr,i79_p17,1,1,10,2,1,7,2
rb,in_vitro_250_gfpab_250nM_pAG_tada_37_2hr,i79_p18,1,1,10,2,1,7,2
rb,in_vitro_250_gfpab_250_lambdaN_37_2hr,i79_p19,1,1,10,2,1,7,2
rb,in_vitro_250_tadagfpnb_250_lambdaN_37_2hr,i79_p20,1,1,10,2,1,7,2
