owner,sample_name,illumina_sample_id,sample_id,tada_type,tada_conc,condition,gfpab_conc,lambdaN_conc,short_key
rb,in_vitro_no_enzyme,rb_i79_p1_S1,i79_p1,none,0nM,37_2hr,0nM,0nM,no_enzyme
rb,in_vitro_lambdaN_tada_500nM_37_2hr,rb_i79_p2_S2,i79_p2,lambdaN,500nM,37_2hr,0nM,0nM,lambdaN_tada
rb,in_vitro_lambdaN_tada_250nM_37_2hr,rb_i79_p3_S3,i79_p3,lambdaN,250nM,37_2hr,0nM,0nM,lambdaN_tada
rb,in_vitro_lambdaN_tada_125nM_37_2hr,rb_i79_p4_S4,i79_p4,lambdaN,125nM,37_2hr,0nM,0nM,lambdaN_tada
rb,in_vitro_lambdaN_tada_250nM_37_1hr,rb_i79_p5_S5,i79_p5,lambdaN,250nM,37_1hr,0nM,0nM,lambdaN_tada
rb,in_vitro_lambdaN_tada_250nM_37_30min,rb_i79_p6_S6,i79_p6,lambdaN,250nM,37_30min,0nM,0nM,lambdaN_tada
rb,in_vitro_tada_500nM_37_2hr,rb_i79_p7_S7,i79_p7,tada_only,500nM,37_2hr,0nM,0nM,tada
rb,in_vitro_tada_250nM_37_2hr,rb_i79_p8_S8,i79_p8,tada_only,250nM,37_2hr,0nM,0nM,tada
rb,in_vitro_tada_125nM_37_2hr,rb_i79_p9_S9,i79_p9,tada_only,125nM,37_2hr,0nM,0nM,tada
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_2hr,rb_i79_p10_S10,i79_p10,pAG,250nM,37_2hr,250nM,250nM,pAG
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_25_2hr,rb_i79_p11_S11,i79_p11,pAG,250nM,25_2hr,250nM,250nM,pAG
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_13_2hr,rb_i79_p12_S12,i79_p12,pAG,250nM,13_2hr,250nM,250nM,pAG
rb,in_vitro_125_gfpab_125_lambdaN_125nM_pAG_tada_37_2hr,rb_i79_p13_S13,i79_p13,pAG,125nM,37_2hr,125nM,125nM,pAG
rb,in_vitro_500_gfpab_500_lambdaN_500nM_pAG_tada_37_2hr,rb_i79_p14_S14,i79_p14,pAG,500nM,37_2hr,500nM,500nM,pAG
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_1hr,rb_i79_p15_S15,i79_p15,pAG,250nM,37_1hr,250nM,250nM,pAG
rb,in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_30min,rb_i79_p16_S16,i79_p16,pAG,250nM,37_30min,250nM,250nM,pAG
rb,in_vitro_250_lambdaN_250nM_pAG_tada_37_2hr,rb_i79_p17_S17,i79_p17,pAG,250nM,37_2hr,0nM,250nM,pAG_no_gfpab
rb,in_vitro_250_gfpab_250nM_pAG_tada_37_2hr,rb_i79_p18_S18,i79_p18,pAG,250nM,37_2hr,250nM,0nM,pAG_no_lambdaN
rb,in_vitro_250_gfpab_250_lambdaN_37_2hr,rb_i79_p19_S19,i79_p19,none,0nM,37_2hr,250nM,250nM,pAG_no_tada
rb,in_vitro_250_tadagfpnb_250_lambdaN_37_2hr,rb_i79_p20_S20,i79_p20,gfpnb,250nM,37_2hr,0nM,250nM,gfpnb
