tada_type,tada_conc,edit_type,n_pairs,mut_mean_percent,mut_se_percent,wt_mean_percent,wt_se_percent,difference_percentage_points,fold_change,p_value,p_adjusted_bh,significance
lambdaN,125nM,frac_1edit,15,3.96,0.46,11.94,1.13,7.98,3.02,9.646508754383186e-06,3.9660884247622894e-05,***
lambdaN,125nM,frac_2edit,15,0.99,0.28,4.75,0.52,3.76,4.78,9.915221061905723e-06,3.9660884247622894e-05,***
lambdaN,250nM,frac_1edit,15,9.21,0.87,16.8,1.19,7.59,1.82,5.709761878208246e-06,3.9660884247622894e-05,***
lambdaN,250nM,frac_2edit,15,4.07,0.83,13.55,1.34,9.49,3.33,2.2359300238922842e-05,6.707790071676853e-05,***
lambdaN,500nM,frac_1edit,15,17.34,1.33,13.78,1.15,-3.56,0.79,0.0001254097963567455,0.00030098351125618924,***
lambdaN,500nM,frac_2edit,15,55.11,2.2,61.67,2.22,6.56,1.12,0.012219222899411698,0.024438445798823396,*
tada_only,125nM,frac_1edit,15,12.59,1.02,13.25,0.67,0.66,1.05,0.500284685142345,0.7504270277135175,ns
tada_only,125nM,frac_2edit,15,8.01,0.91,9.22,0.72,1.21,1.15,0.3840702036187409,0.6584060633464129,ns
tada_only,250nM,frac_1edit,15,16.23,0.74,16.48,0.7,0.25,1.02,0.7980966199540511,0.8021305431947696,ns
tada_only,250nM,frac_2edit,15,23.51,2.07,24.3,1.77,0.79,1.03,0.7905439299013899,0.8021305431947696,ns
tada_only,500nM,frac_1edit,15,10.06,0.72,9.58,0.58,-0.48,0.95,0.6008721859514354,0.8011629146019139,ns
tada_only,500nM,frac_2edit,15,63.09,2.29,62.13,2.35,-0.96,0.98,0.8021305431947696,0.8021305431947696,ns
