tada_type,tada_conc,edit_type,n_pairs,mut_mean_percent,mut_se_percent,wt_mean_percent,wt_se_percent,difference_percentage_points,fold_change,p_value,p_adjusted_bh,significance
lambdaN,125nM,frac_1edit,15,3.9612795420251437,0.4638958690505267,11.943854085224164,1.133397601508101,7.98257454319902,3.015150523590176,9.646508754383186e-06,3.9660884247622894e-05,***
lambdaN,125nM,frac_2edit,15,0.9932051368923553,0.28453676370322906,4.748711464354454,0.5217586404068093,3.7555063274620983,4.781199057440159,9.915221061905723e-06,3.9660884247622894e-05,***
lambdaN,250nM,frac_1edit,15,9.210003694103932,0.8718513026251474,16.797551000597,1.18541804848993,7.587547306493068,1.8238375964333728,5.709761878208246e-06,3.9660884247622894e-05,***
lambdaN,250nM,frac_2edit,15,4.065789802415731,0.8273901185735393,13.554057790509995,1.3413197183847265,9.488267988094265,3.3336838472212,2.2359300238922842e-05,6.707790071676853e-05,***
lambdaN,500nM,frac_1edit,15,17.339139793813317,1.330955992971196,13.77816438309663,1.15144962552909,-3.5609754107166864,0.7946279081279881,0.0001254097963567455,0.00030098351125618924,***
lambdaN,500nM,frac_2edit,15,55.10973049782666,2.2045583808198046,61.66608640572912,2.223458666567784,6.556355907902457,1.1189691157745911,0.012219222899411698,0.024438445798823396,*
tada_only,125nM,frac_1edit,15,12.588993783247899,1.0156762819864196,13.250754789445294,0.6747995877767322,0.6617610061973949,1.052566632217898,0.500284685142345,0.7504270277135175,ns
tada_only,125nM,frac_2edit,15,8.012882930727985,0.9057585106244113,9.222180815475921,0.7214533315500574,1.2092978847479365,1.150919200392969,0.3840702036187409,0.6584060633464129,ns
tada_only,250nM,frac_1edit,15,16.23213583567106,0.7353598089181638,16.482542550373598,0.7030967417542745,0.25040671470253884,1.0154266029583277,0.7980966199540511,0.8021305431947696,ns
tada_only,250nM,frac_2edit,15,23.510975737001413,2.0659551687922417,24.303438151907244,1.771240690071917,0.792462414905831,1.0337060623842447,0.7905439299013899,0.8021305431947696,ns
tada_only,500nM,frac_1edit,15,10.05661706034602,0.7246811501965572,9.581458258805691,0.579267147666636,-0.47515880154032963,0.9527516262487595,0.6008721859514354,0.8011629146019139,ns
tada_only,500nM,frac_2edit,15,63.08896928824876,2.288703842130789,62.12792477436355,2.3484433564406126,-0.9610445138852128,0.9847668376147616,0.8021305431947696,0.8021305431947696,ns
