target_pos_to_boxb,target_dist,tada_type,mean,se,n,absolute_dist
3,0,lambdaN,0.26,0.0029,2048,0
3,0,tada_only,0.2,0.0025,2048,0
3,2,lambdaN,0.31,0.0032,2048,2
3,2,tada_only,0.25,0.0028,2048,2
3,4,lambdaN,0.33,0.0036,2048,4
3,4,tada_only,0.26,0.0032,2048,4
3,6,lambdaN,0.3,0.0034,2048,6
3,6,tada_only,0.26,0.0032,2048,6
3,8,lambdaN,0.27,0.0032,2048,8
3,8,tada_only,0.23,0.0029,2048,8
3,10,lambdaN,0.24,0.0028,2048,10
3,10,tada_only,0.22,0.0025,2048,10
3,12,lambdaN,0.26,0.0031,2048,12
3,12,tada_only,0.24,0.0029,2048,12
3,14,lambdaN,0.24,0.0029,2048,14
3,14,tada_only,0.22,0.0027,2048,14
3,16,lambdaN,0.26,0.0027,2048,16
3,16,tada_only,0.24,0.0024,2048,16
3,18,lambdaN,0.23,0.0029,2048,18
3,18,tada_only,0.22,0.0025,2048,18
3,20,lambdaN,0.25,0.0027,2048,20
3,20,tada_only,0.25,0.0026,2048,20
3,22,lambdaN,0.23,0.0027,2048,22
3,22,tada_only,0.23,0.0026,2048,22
3,24,lambdaN,0.25,0.0028,2048,24
3,24,tada_only,0.25,0.0028,2048,24
3,26,lambdaN,0.23,0.0025,2048,26
3,26,tada_only,0.24,0.0025,2048,26
3,28,lambdaN,0.25,0.0028,2048,28
3,28,tada_only,0.25,0.0028,2048,28
3,30,lambdaN,0.22,0.0026,2048,30
3,30,tada_only,0.22,0.0025,2048,30
5,0,lambdaN,0.23,0.003,2048,30
5,0,tada_only,0.2,0.0028,2048,30
5,2,lambdaN,0.22,0.0028,2048,28
5,2,tada_only,0.22,0.0028,2048,28
5,4,lambdaN,0.22,0.0028,2048,26
5,4,tada_only,0.21,0.0026,2048,26
5,6,lambdaN,0.27,0.003,2048,24
5,6,tada_only,0.26,0.0028,2048,24
5,8,lambdaN,0.21,0.0026,2048,22
5,8,tada_only,0.18,0.0023,2048,22
5,10,lambdaN,0.21,0.0028,2048,20
5,10,tada_only,0.18,0.0026,2048,20
5,12,lambdaN,0.29,0.0028,2048,18
5,12,tada_only,0.27,0.0027,2048,18
5,14,lambdaN,0.2,0.0028,2048,16
5,14,tada_only,0.17,0.0024,2048,16
5,16,lambdaN,0.26,0.0032,2048,14
5,16,tada_only,0.25,0.0031,2048,14
5,18,lambdaN,0.21,0.0026,2048,12
5,18,tada_only,0.2,0.0024,2048,12
5,20,lambdaN,0.25,0.0028,2048,10
5,20,tada_only,0.23,0.0027,2048,10
5,22,lambdaN,0.28,0.0031,2048,8
5,22,tada_only,0.25,0.0028,2048,8
5,24,lambdaN,0.27,0.0031,2048,6
5,24,tada_only,0.24,0.0029,2048,6
5,26,lambdaN,0.3,0.0029,2048,4
5,26,tada_only,0.29,0.0027,2048,4
5,28,lambdaN,0.32,0.0026,2048,2
5,28,tada_only,0.3,0.0025,2048,2
5,30,lambdaN,0.29,0.0028,2048,0
5,30,tada_only,0.27,0.0027,2048,0
