"sample_name"	"sample_title"	"bioproject_accession"	"organism"	"isolate"	"age"	"biomaterial_provider"	"collection_date"	"geo_loc_name"	"sex"	"tissue"	"cell_line"	"sample_id"
"rb_i79p1_in_vitro_no_enzyme"	"In vitro no enzyme"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p1"
"rb_i79p2_in_vitro_lambdaN_tada_500nM_37_2hr"	"In vitro LambdaN-TadA 500nM 37C 2 hr sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p2"
"rb_i79p3_in_vitro_lambdaN_tada_250nM_37_2hr"	"In vitro LambdaN-TadA 250nM 37C 2 hr sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p3"
"rb_i79p4_in_vitro_lambdaN_tada_125nM_37_2hr"	"In vitro LambdaN-TadA 125nM 37C 2 hr sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p4"
"rb_i79p5_in_vitro_lambdaN_tada_250nM_37_1hr"	"In vitro LambdaN-TadA 250nM 37C 1 hr sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p5"
"rb_i79p6_in_vitro_lambdaN_tada_250nM_37_30min"	"In vitro LambdaN-TadA 250nM 37C 30 min sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p6"
"rb_i79p7_in_vitro_tada_500nM_37_2hr"	"In vitro TadA Alone 500nM 37C 2hr"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p7"
"rb_i79p8_in_vitro_tada_250nM_37_2hr"	"In vitro TadA Alone 250nM 37C 2hr"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p8"
"rb_i79p9_in_vitro_tada_125nM_37_2hr"	"In vitro TadA Alone 125nM 37C 2hr"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p9"
"rb_i79p10_in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_2hr"	"In vitro TadA-pAG 250nm 37C 2 hr sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p10"
"rb_i79p20_in_vitro_250_tadagfpnb_250_lambdaN_37_2hr"	"In vitro TadA-GFPNb 250 nM 37C 2 hr sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"i79p20"
"rb_i79p21_in_vivo_tadaln"	"In vivo TadA-LambdaN BoxB sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"HEK293T"	"i79p21"
"rb_i79p22_in_vivo_gfpnb"	"In vivo TadA-GFPNb BoxB sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"HEK293T"	"i79p22"
"rb_i79p23_in_vivo_noenzyme"	"In vivo No enzyme BoxB sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"HEK293T"	"i79p23"
"rb_ln_dms_linkage"	"LambdaN DMS barcode linkage sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"rb_ln_dms_linkage"
"rb_i84p1_ln_dms"	"LambdaN DMS RNA barcode sequencing"	"PRJNA1255650"	"Homo sapiens"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"not applicable"	"HEK293T"	"i84p1"
