sample_name	sample_title	bioproject_accession	organism	isolate	age	biomaterial_provider	collection_date	geo_loc_name	sex	tissue	cell_line	sample_id
in_vitro_no_enzyme	No enzyme	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p1
in_vitro_lambdaN_tada_500nM_37_2hr	LambdaN-TadA 500nM 37C 2 hr sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p2
in_vitro_lambdaN_tada_250nM_37_2hr	LambdaN-TadA 250nM 37C 2 hr sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p3
in_vitro_lambdaN_tada_125nM_37_2hr	LambdaN-TadA 125nM 37C 2 hr sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p4
in_vitro_lambdaN_tada_250nM_37_1hr	LambdaN-TadA 250nM 37C 1 hr sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p5
in_vitro_lambdaN_tada_250nM_37_30min	LambdaN-TadA 250nM 37C 30 min sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p6
in_vitro_tada_500nM_37_2hr	TadA Alone 500nM 37C 2hr	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p7
in_vitro_tada_250nM_37_2hr	TadA Alone 250nM 37C 2hr	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p8
in_vitro_tada_125nM_37_2hr	TadA Alone 125nM 37C 2hr	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p9
in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_2hr	TadA-pAG 250nm 37C 2 hr sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p10
in_vitro_250_tadagfpnb_250_lambdaN_37_2hr	TadA-GFPNb 250 nM 37C 2 hr sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	i79p20
invivo_tadaln	In vivo TadA-LambdaN BoxB Library sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	HEK293T	i79p21
invivo_gfpnb	In vivo TadA-GFPNbBoxB Library sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	HEK293T	i79p22
invivo_noenzyme	In vivo No enzyme BoxB Library sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	HEK293T	i79p23
LambdaN_dms_linkage	LambdaN DMS Barcode Linkage sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	E. coli	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ecAS499	rb_ln_dms_linkage
ln_dms	LambdaN DMS sequencing	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1255650	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	HEK293T	i84p1
