sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
rb_i79p1_in_vitro_no_enzyme	rb_i79p1_in_vitro_no_enzyme	In vitro no enzyme	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p1_S1_R1_001.fastq.gz	rb_i79_p1_S1_R2_001.fastq.gz						
rb_i79p2_in_vitro_lambdaN_tada_500nM_37_2hr	rb_i79p2 _in_vitro_lambdaN_tada_500nM_37_2hr	In vitro LambdaN-TadA 500nM 37C 2 hr sequencing	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p2_S2_R1_001.fastq.gz	rb_i79_p2_S2_R2_001.fastq.gz						
rb_i79p3_in_vitro_lambdaN_tada_250nM_37_2hr	rb_i79p3_in_vitro_lambdaN_tada_250nM_37_2hr	In vitro LambdaN-TadA 250nM 37C 2 hr sequencing	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p3_S3_R1_001.fastq.gz	rb_i79_p3_S3_R2_001.fastq.gz						
rb_i79p4_in_vitro_lambdaN_tada_125nM_37_2hr	rb_i79p4_in_vitro_lambdaN_tada_125nM_37_2hr	In vitro LambdaN-TadA 125nM 37C 2 hr sequencing	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p4_S4_R1_001.fastq.gz	rb_i79_p4_S4_R2_001.fastq.gz						
rb_i79p5_in_vitro_lambdaN_tada_250nM_37_1hr	rb_i79p5_in_vitro_lambdaN_tada_250nM_37_1hr	In vitro LambdaN-TadA 250nM 37C 1 hr sequencing	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p5_S5_R1_001.fastq.gz	rb_i79_p5_S5_R2_001.fastq.gz						
rb_i79p6_in_vitro_lambdaN_tada_250nM_37_30min	rb_i79p6_in_vitro_lambdaN_tada_250nM_37_30min	In vitro LambdaN-TadA 250nM 37C 30 min sequencing	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p6_S6_R1_001.fastq.gz	rb_i79_p6_S6_R2_001.fastq.gz						
rb_i79p7_in_vitro_tada_500nM_37_2hr	rb_i79p7_in_vitro_tada_500nM_37_2hr	In vitro TadA Alone 500nM 37C 2hr	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p7_S7_R1_001.fastq.gz	rb_i79_p7_S7_R2_001.fastq.gz						
rb_i79p8_in_vitro_tada_250nM_37_2hr	rb_i79p8_in_vitro_tada_250nM_37_2hr	In vitro TadA Alone 250nM 37C 2hr	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p8_S8_R1_001.fastq.gz	rb_i79_p8_S8_R2_001.fastq.gz						
rb_i79p9_in_vitro_tada_125nM_37_2hr	rb_i79p9_in_vitro_tada_125nM_37_2hr	In vitro TadA Alone 125nM 37C 2hr	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p9_S9_R1_001.fastq.gz	rb_i79_p9_S9_R2_001.fastq.gz						
rb_i79p10_in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_2hr	rb_i79p10_in_vitro_250_gfpab_250_lambdaN_250nM_pAG_tada_37_2hr	In vitro TadA-pAG 250nm 37C 2 hr sequencing	AMPLICON	SYNTHETIC	PCR	paired	ILLUMINA	NextSeq 2000	reporters amplified from mRNA by reverse transcription and PCR with Illumina sequencing adapters	fastq			rb_i79_p10_S10_R1_001.fastq.gz	rb_i79_p10_S10_R2_001.fastq.gz						
