enzyme	n	position	mean	se	scaled_mean
none	24	0	0.0015466666666666667	6.828498643172361e-4	8
none	24	1	3.5375e-4	8.355726254005935e-5	3
none	24	2	4.525e-4	1.340103959843566e-4	6
none	24	3	3.566666666666667e-4	6.392836419612401e-5	4
none	24	4	2.475e-4	4.773587506389658e-5	1
none	24	5	5.045833333333333e-4	8.629234765195015e-5	7
none	24	6	3.083333333333333e-4	6.104959574064859e-5	2
none	24	7	4.058333333333333e-4	9.015268181616864e-5	5
tada_gfpnb	24	0	0.01555875	0.0026447028895689216	3
tada_gfpnb	24	1	0.03398416666666667	0.00404476253385956	6
tada_gfpnb	24	2	0.00775875	0.0014902110920040437	1
tada_gfpnb	24	3	0.018276666666666667	0.0019452265680290775	5
tada_gfpnb	24	4	0.05990125	0.006775359670449185	7
tada_gfpnb	24	5	0.014300833333333334	0.0022249123836084648	2
tada_gfpnb	24	6	0.017486250000000002	0.0025284750669028314	4
tada_gfpnb	24	7	0.07239208333333333	0.006264666501040841	8
tada_ln	24	0	0.017232083333333332	0.002996051687986937	2
tada_ln	24	1	0.04012458333333333	0.004670261334709299	6
tada_ln	24	2	0.0085925	0.001485095181890832	1
tada_ln	24	3	0.021722083333333333	0.003070820594382953	4
tada_ln	24	4	0.06287833333333333	0.007503495264446756	7
tada_ln	24	5	0.017246666666666667	0.002367136537353397	3
tada_ln	24	6	0.022711666666666668	0.00361033669325277	5
tada_ln	24	7	0.08081458333333333	0.007027112013716677	8
